Gene ID,Gene Name,Col.0,pp7l.1
AT2G17050,NA,3.729136705617487,0
AT2G17055,NA,0.7458273411234975,0
AT2G17060,NA,11.187410116852462,5.5261464426501155
AT2G17070,NA,11.187410116852462,11.052292885300231
AT2G17080,NA,20.13733821033443,19.341512549275407
AT2G17090,BSK12,0,0
AT2G17110,NA,44.003813126286346,36.840976284334104
AT2G17120,LYM2,63.39532399549728,60.78761086915127
AT2G17130,IDH2,155.13208695368746,168.54746650082853
AT2G17140,NA,6.7124460701114765,6.447170849758469
AT2G17150,NLP1,76.07438879459674,65.39273290469303
AT2G17160,NA,0,0
AT2G17170,NA,0,0
AT2G17180,ZAT2,0.7458273411234975,3.6840976284334106
AT2G17190,DSK2A,266.2603607810886,221.96688211311297
AT2G17200,DSK2B,219.27323829030826,200.78332074962088
AT2G17210,PCMP-E77,7.458273411234974,6.447170849758469
AT2G17220,PIX13,92.48259029931369,86.57629426818515
AT2G17230,EXL5,1299.9770555782561,1197.3317292408585
AT2G17240,NA,145.436331519082,125.25931936673597
AT2G17250,EMB2762,81.29518018246122,77.36605019710163
AT2G17260,GLR2,14.17071948134645,8.289219663975175
AT2G17265,HSK,212.56079222019676,243.1504434766051
AT2G17270,MPT1,14.17071948134645,11.052292885300231
AT2G17280,PGM,54.445395902015314,61.70863527625963
AT2G17290,CPK6,262.5312240754711,332.48981096611533
AT2G17295,NA,0,0
AT2G17300,NA,132.75726671998254,223.8089309273297
AT2G17305,NA,0,0
AT2G17310,SON1,0,0
AT2G17320,NA,96.21172700493116,87.4973186752935
AT2G17340,NA,204.3566914678383,209.9935648207044
AT2G17350,NA,19.391510869210933,9.210244071083526
AT2G17360,RPS4A,733.148276324398,639.1909385331967
AT2G17370,HMG2,61.90366931325028,62.62965968336798
AT2G17380,AAP19-1,138.72388544897052,193.41512549275404
AT2G17390,AKR2B,343.8264042579323,354.5943967367158
AT2G17410,ARID3,173.7777704817749,164.8633688723951
AT2G17420,NTR2,538.4873402911652,497.3531798385104
AT2G17430,MLO7,11.93323745797596,10.13126847819188
AT2G17440,PIRL5,116.3490652152656,155.6531248013116
AT2G17442,NA,10.441582775728964,12.894341699516938
AT2G17450,ATL44,572.0495706417225,1112.59748378689
AT2G17470,NA,5.220791387864482,1.8420488142167053
AT2G17480,MLO8,322.1974113653509,396.9615194637
AT2G17500,PILS5,484.78777173027333,808.6594294411336
AT2G17510,EMB2763,162.59036036492245,135.39058784492784
AT2G17520,IRE1A,150.65712290694648,174.994637350587
AT2G17525,NA,20.883165551457928,21.18356136349211
AT2G17530,NA,49.22460451415083,48.81429357674269
AT2G17540,NA,46.24129514965684,76.44502578999327
AT2G17550,NA,99.19503636942515,95.78653833926867
AT2G17560,HMGB4,147.67381354245248,139.07468547336126
AT2G17570,NA,26.10395693932241,20.26253695638376
AT2G17580,NA,40.27467642066886,69.07683053312645
AT2G17590,NA,2.98330936449399,3.6840976284334106
AT2G17600,NA,0,0.9210244071083526
AT2G17620,CYCB2-1,10.441582775728964,11.973317292408584
AT2G17630,PSAT2,99.94086371054865,105.91780681746056
AT2G17640,SAT2,52.95374121976832,53.41941561228445
AT2G17650,AAE2,20.13733821033443,14.736390513733642
AT2G17660,NA,2.237482023370492,11.052292885300231
AT2G17670,NA,26.10395693932241,43.288147134092576
AT2G17680,NA,0,0.9210244071083526
AT2G17690,SDC,2.237482023370492,0.9210244071083526
AT2G17695,NA,47.73294983190384,67.23478171890974
AT2G17700,STY8,173.7777704817749,215.5197112633545
AT2G17705,NA,92.48259029931369,138.1536610662529
AT2G17710,NA,111.12827382740112,164.8633688723951
